date,eurusd,eurusd3m,eurusd1y,eurusd3y,usdeur,audusd,audusd3m,audusd1y,audusd3y,usdaud,usdjpy,usdjpy3m,usdjpy1y,usdjpy3y,usdgbp,gbpusd3m,gbpusd1y,gbpusd3y
1/1/1998,1.0991,1.1031,1.11465,#NA,#NA,0.651,0.65235,0.65585,0.6565,1.53163,130.635,128.9025,123.865,112.12,#NA,1.6404,1.6215,#NA
1/2/1998,1.09575,1.09972,1.11075,#NA,#NA,0.65125,0.6526,0.6561,0.65725,1.53658,132.405,130.67,125.585,113.89,#NA,1.63777,1.6187,#NA
1/5/1998,1.0835,1.08722,1.09795,#NA,#NA,0.63985,0.64119,0.645,0.64835,1.55037,133.575,131.835,126.82,114.915,#NA,1.62232,1.60355,#NA
1/6/1998,1.0808,1.08448,1.09457,#NA,#NA,0.63615,0.63745,0.6413,0.64315,1.57234,133.72,132,127.025,115.35,#NA,1.61705,1.59765,#NA
1/7/1998,1.0836,1.08717,1.09725,#NA,#NA,0.64225,0.64345,0.647,0.64725,1.57084,131.57,129.885,125.05,113.54,#NA,1.61848,1.5993,#NA
1/8/1998,1.0843,1.08793,1.0979,#NA,#NA,0.63315,0.63427,0.63765,0.63815,1.57209,132.65,130.975,126.1,114.8,#NA,1.60578,1.58615,#NA
1/9/1998,1.0835,1.0871,1.09695,#NA,#NA,0.64435,0.64537,0.64835,0.64885,1.55353,132.03,130.37,125.58,114.4,#NA,1.6054,1.58515,#NA
1/12/1998,1.084,1.08747,1.09665,#NA,#NA,0.64255,0.64356,0.6464,0.64605,1.56373,132.685,131.015,126.21,115.185,#NA,1.61527,1.595,#NA
1/13/1998,1.086,1.0895,1.099,#NA,#NA,0.64945,0.65048,0.6464,0.65295,1.56055,131.45,129.775,124.88,114,#NA,1.62675,1.60765,#NA
1/14/1998,1.0843,1.08776,1.09755,#NA,#NA,0.64765,0.64868,0.6514,0.65075,1.53775,130.955,129.36,124.55,113.355,#NA,1.6217,1.60065,#NA
1/15/1998,1.0798,1.08322,1.09285,#NA,#NA,0.65215,0.65312,0.65545,0.65465,1.53798,129.835,128.185,123.43,112.365,#NA,1.6235,1.60175,#NA
1/16/1998,1.0782,1.08165,1.0917,#NA,#NA,0.66505,0.66604,0.66842,0.65465,1.51744,129.255,127.6075,122.82,112.32,#NA,1.62648,1.60502,#NA
1/19/1998,1.0772,1.0807,1.0909,#NA,#NA,0.66585,0.66686,0.6694,0.65465,1.50398,129.025,127.38,122.64,111.725,#NA,1.62915,1.6068,#NA
1/20/1998,1.0805,1.08395,1.09395,#NA,#NA,0.66755,0.66857,0.6712,0.65465,1.50692,128.425,126.795,122.06,111.21,#NA,1.6191,1.59685,#NA
1/21/1998,1.0848,1.08822,1.0981,#NA,#NA,0.66335,0.66437,0.6672,0.66685,1.50965,127.015,125.38,120.75,109.985,#NA,1.62382,1.6027,#NA
1/22/1998,1.0926,1.096,1.1056,#NA,#NA,0.65935,0.66031,0.66265,0.66185,1.51631,127.175,125.575,120.95,110.34,#NA,1.6418,1.62045,#NA
1/23/1998,1.1083,1.11167,1.1216,#NA,#NA,0.66625,0.6672,0.66935,0.66775,1.51103,125.6,124.0095,119.48,109.205,#NA,1.66406,1.64365,#NA
1/26/1998,1.0991,1.10249,1.11275,#NA,#NA,0.66945,0.67042,0.6729,0.66775,1.48743,126.505,124.895,120.38,110.03,#NA,1.6496,1.62925,#NA
1/27/1998,1.1022,1.10559,1.11645,#NA,#NA,0.67665,0.67762,0.6799,0.66775,1.47448,125.355,123.755,119.21,108.98,#NA,1.6353,1.61635,#NA
