date,eurusd,eurusd3m,eurusd1y,usdjpy,usdjpy3m,usdjpy1y,audusd,audusd3m,audusdy1
1/1/1998,1.09073,#N/A,#N/A,130.025,128.2925,123.255,0.6516,0.65295,0.65675
1/2/1998,1.08749,#N/A,#N/A,132.325,130.58,125.505,0.65,0.65135,0.65485
1/5/1998,1.07897,#N/A,#N/A,133.85,132.1065,127.065,0.643,0.64433,0.64823
1/6/1998,1.07584,#N/A,#N/A,133.6,131.8695,126.867,0.6327,0.63401,0.6381
1/7/1998,1.07415,#N/A,#N/A,132.07,130.3965,125.485,0.6398,0.64095,0.64455
1/8/1998,1.07915,#N/A,#N/A,132.63,130.9275,126.045,0.6367,0.63783,0.64125
1/9/1998,1.07705,#N/A,#N/A,131.525,129.8525,124.992,0.6454,0.64648,0.6496
1/12/1998,1.07798,#N/A,#N/A,133.075,131.4075,126.625,0.6406,0.6416,0.64433
1/13/1998,1.07627,#N/A,#N/A,131.835,130.1695,125.3,0.6461,0.64712,0.6498
1/14/1998,1.07516,#N/A,#N/A,131.55,129.885,125.035,0.6472,0.64823,0.65085
1/15/1998,1.07079,#N/A,#N/A,130.49,128.835,124.025,0.648,0.64896,0.65125
1/16/1998,1.07262,#N/A,#N/A,128.985,127.3365,122.55,0.6622,0.6632,0.66557
1/19/1998,1.06735,#N/A,#N/A,128.85,127.2175,122.46,0.668,0.66901,0.67155
1/20/1998,1.06529,#N/A,#N/A,128.97,127.3425,122.61,0.6648,0.66583,0.6684
1/21/1998,1.0728,#N/A,#N/A,127.745,126.1275,121.43,0.6613,0.66235,0.665
1/22/1998,1.08722,#N/A,#N/A,127.375,125.751,121.165,0.6585,0.65944,0.6615
1/23/1998,1.10034,#N/A,#N/A,126.05,124.457,119.92,0.6624,0.66335,0.6656
1/26/1998,1.09499,#N/A,#N/A,126.18,124.5885,120.047,0.6708,0.67175,0.67415
1/27/1998,1.09449,#N/A,#N/A,125.85,124.227,119.685,0.6743,0.67526,0.67755
1/28/1998,1.08477,#N/A,#N/A,125.065,123.469,118.92,0.6778,0.67882,0.68125
1/29/1998,1.07378,#N/A,#N/A,125.2,123.5675,119.1225,0.6772,0.67821,0.6804
1/30/1998,1.07161,#N/A,#N/A,126.8,125.17,120.66,0.6854,0.68642,0.6886
2/2/1998,1.07471,#N/A,#N/A,126.76,125.152,120.68,0.6855,0.68655,0.6888
2/3/1998,1.07665,#N/A,#N/A,126.215,124.635,120.185,0.6826,0.68365,0.68573
2/4/1998,1.08313,#N/A,#N/A,124.05,122.507,118.08,0.6788,0.67985,0.6824
2/5/1998,1.09476,#N/A,#N/A,123.275,121.715,117.417,0.6781,0.67922,0.6817
2/6/1998,1.09176,#N/A,#N/A,123.59,122.035,117.672,0.6709,0.672,0.67447
2/9/1998,1.07934,#N/A,#N/A,124.345,122.792,118.33,0.672,0.67313,0.67575
2/10/1998,1.08225,#N/A,#N/A,123.42,121.882,117.385,0.6801,0.68125,0.68415
2/11/1998,1.07564,#N/A,#N/A,123.61,122.08,117.585,0.6775,0.67864,0.68172
2/12/1998,1.08207,#N/A,#N/A,123.6,122.0625,117.65,0.6781,0.67919,0.6821
2/13/1998,1.07321,#N/A,#N/A,125.365,123.804,119.337,0.6717,0.67282,0.67595
2/16/1998,1.07667,#N/A,#N/A,126.04,124.4725,119.995,0.6636,0.66468,0.66755
2/17/1998,1.07304,#N/A,#N/A,126.54,124.9875,120.48,0.6694,0.67045,0.67315
2/18/1998,1.07652,#N/A,#N/A,126.38,124.8225,120.255,0.6695,0.67053,0.67315
2/19/1998,1.07376,#N/A,#N/A,126.445,124.835,120.3,0.676,0.67708,0.6798
2/20/1998,1.07501,#N/A,#N/A,127.555,125.9455,121.34,0.673,0.67408,0.67685
2/23/1998,1.08855,#N/A,#N/A,127.94,126.3325,121.675,0.6677,0.66879,0.67177
2/24/1998,1.08673,#N/A,#N/A,127.865,126.28,121.545,0.6653,0.66639,0.6697
2/25/1998,1.08078,#N/A,#N/A,128.57,126.944,122.165,0.6659,0.66705,0.67033
2/26/1998,1.08023,#N/A,#N/A,128.15,126.493,121.73,0.672,0.67315,0.67635
2/27/1998,1.07865,#N/A,#N/A,126.33,124.704,119.967,0.6813,0.68251,0.68585
3/2/1998,1.0812,#N/A,#N/A,125.465,123.85,119.145,0.6814,0.68259,0.6859
3/3/1998,1.08284,#N/A,#N/A,125.935,124.3135,119.565,0.6806,0.68178,0.68495
3/4/1998,1.07729,#N/A,#N/A,126.47,124.817,120.08,0.6758,0.67708,0.6806
3/5/1998,1.07133,#N/A,#N/A,127.675,126.054,121.28,0.6687,0.66993,0.67357
3/6/1998,1.06963,#N/A,#N/A,127.845,126.226,121.425,0.6695,0.67071,0.67432
3/9/1998,1.07242,#N/A,#N/A,127.73,126.11,121.33,0.6668,0.668,0.6716
3/10/1998,1.06981,#N/A,#N/A,127.695,126.076,121.325,0.6693,0.6705,0.67425
3/11/1998,1.0667,#N/A,#N/A,129.34,127.671,122.857,0.6665,0.66774,0.67157
3/12/1998,1.07168,#N/A,#N/A,129.58,127.937,123.115,0.6688,0.67008,0.6742
3/13/1998,1.07833,#N/A,#N/A,128.18,126.551,121.812,0.6746,0.67589,0.68005
3/16/1998,1.07589,#N/A,#N/A,129.655,128.0165,123.21,0.6691,0.67034,0.67445
3/17/1998,1.07997,#N/A,#N/A,129.21,127.575,122.805,0.6707,0.67193,0.67583
3/18/1998,1.07268,#N/A,#N/A,130.225,128.5325,123.66,0.6649,0.66615,0.67038
3/19/1998,1.07195,#N/A,#N/A,130.39,128.735,123.857,0.6627,0.6639,0.66815
3/20/1998,1.06845,#N/A,#N/A,130.425,128.772,123.92,0.6643,0.66551,0.66967
3/23/1998,1.0716,#N/A,#N/A,130.31,128.652,123.755,0.6671,0.66831,0.67253
3/24/1998,1.07098,#N/A,#N/A,130.355,128.72,123.875,0.6714,0.67263,0.67687
3/25/1998,1.07231,#N/A,#N/A,128.93,127.291,122.512,0.6705,0.67174,0.67608
3/26/1998,1.07426,#N/A,#N/A,128.83,127.2055,122.39,0.6733,0.6745,0.67863
3/27/1998,1.07123,#N/A,#N/A,130.335,128.7,123.765,0.6735,0.67467,0.67883
3/30/1998,1.06177,#N/A,#N/A,132.14,130.466,125.42,0.663,0.66419,0.6687
3/31/1998,1.05915,#N/A,#N/A,133.355,131.682,126.59,0.6632,0.66442,0.66925
4/1/1998,1.05902,#N/A,#N/A,133.2,131.518,126.405,0.661,0.6622,0.66705
4/2/1998,1.05933,#N/A,#N/A,133.45,131.752,126.705,0.6562,0.65737,0.66198
4/3/1998,1.06016,#N/A,#N/A,134.74,133.0125,128.025,0.6582,0.65937,0.66345
4/6/1998,1.06269,#N/A,#N/A,134.725,132.999,128.015,0.6606,0.66175,0.66585
4/7/1998,1.0649,#N/A,#N/A,133.665,131.9575,126.995,0.6588,0.66008,0.66475
4/8/1998,1.07288,#N/A,#N/A,132.68,130.986,126.045,0.6576,0.65886,0.6633
4/9/1998,1.07722,#N/A,#N/A,130.075,128.41,123.56,0.6571,0.65837,0.66295
4/10/1998,1.07722,#N/A,#N/A,130.075,128.41,123.56,0.6571,0.65837,0.66295
4/13/1998,1.07408,#N/A,#N/A,129.45,127.805,122.935,0.6553,0.65658,0.66125
4/14/1998,1.08516,#N/A,#N/A,129.43,127.776,122.88,0.6475,0.64877,0.65367
4/15/1998,1.08885,#N/A,#N/A,129.33,127.682,122.735,0.65,0.65126,0.6561
4/16/1998,1.08287,#N/A,#N/A,131.785,130.0895,125.101,0.6495,0.65076,0.65555
4/17/1998,1.08306,#N/A,#N/A,131.67,129.994,125.015,0.6525,0.65374,0.65838
4/20/1998,1.08593,#N/A,#N/A,132.23,130.5425,125.525,0.6458,0.647,0.6512
4/21/1998,1.0931,#N/A,#N/A,131.385,129.7055,124.725,0.6488,0.64999,0.65445
4/22/1998,1.09231,#N/A,#N/A,130.595,128.9235,123.909,0.6519,0.65314,0.65777
4/23/1998,1.08807,#N/A,#N/A,130.02,128.349,123.365,0.6533,0.65456,0.65935
4/24/1998,1.09029,#N/A,#N/A,131.03,129.344,124.28,0.651,0.65227,0.65725
4/27/1998,1.09373,#N/A,#N/A,132.245,130.5165,125.365,0.6475,0.64882,0.65407
4/28/1998,1.09053,#N/A,#N/A,132.25,130.4885,125.261,0.644,0.64533,0.6504
4/29/1998,1.09128,#N/A,#N/A,131.94,130.185,124.945,0.6481,0.64942,0.65437
4/30/1998,1.09091,#N/A,#N/A,132.13,130.412,125.28,0.652,0.6532,0.65773
5/1/1998,1.10066,#N/A,#N/A,133.05,131.321,126.21,0.6526,0.65381,0.6583
5/4/1998,1.09882,#N/A,#N/A,133.19,131.4575,126.335,0.6441,0.64533,0.64965
5/5/1998,1.10456,#N/A,#N/A,131.74,130.017,124.93,0.6411,0.64226,0.64655
5/6/1998,1.10932,#N/A,#N/A,132.74,130.974,125.84,0.6385,0.63972,0.64415
5/7/1998,1.11016,#N/A,#N/A,133.035,131.2885,126.126,0.636,0.63718,0.64145
5/8/1998,1.10685,#N/A,#N/A,132.635,130.8885,125.711,0.6372,0.63839,0.64285
5/11/1998,1.10221,#N/A,#N/A,132.71,130.967,125.775,0.6347,0.63588,0.6404
5/12/1998,1.10335,#N/A,#N/A,133.835,132.0805,126.83,0.6339,0.63508,0.63965
5/13/1998,1.10148,#N/A,#N/A,134.04,132.239,127.027,0.6292,0.6303,0.63463
5/14/1998,1.10132,#N/A,#N/A,134.06,132.2965,127.1,0.6278,0.62887,0.63305
5/15/1998,1.09927,#N/A,#N/A,134.08,132.312,127.08,0.6275,0.6286,0.6328
5/18/1998,1.09422,#N/A,#N/A,136.11,134.3175,128.975,0.6212,0.62229,0.6262
5/19/1998,1.09739,#N/A,#N/A,136.09,134.2955,128.965,0.6239,0.62502,0.6291
5/20/1998,1.10609,#N/A,#N/A,136.12,134.2885,129.012,0.6255,0.62667,0.6308
5/21/1998,1.11398,#N/A,#N/A,135.45,133.6695,128.432,0.6304,0.63158,0.63575
5/22/1998,1.11413,#N/A,#N/A,135.705,133.9155,128.621,0.6323,0.63348,0.63772
5/25/1998,1.10791,#N/A,#N/A,137.125,135.3175,129.96,0.6252,0.62638,0.63055
5/26/1998,1.10498,#N/A,#N/A,137.925,136.114,130.75,0.6215,0.62262,0.62675
5/27/1998,1.09945,#N/A,#N/A,137.605,135.761,130.5,0.6215,0.62262,0.62678
5/28/1998,1.10153,#N/A,#N/A,138.525,136.7065,131.34,0.6217,0.62283,0.62723
5/29/1998,1.09844,#N/A,#N/A,138.565,136.7445,131.4,0.6264,0.62756,0.6321
6/1/1998,1.10009,#N/A,#N/A,139.63,137.796,132.417,0.6153,0.61648,0.6211
6/2/1998,1.09925,#N/A,#N/A,138.845,137.0175,131.67,0.6156,0.6167,0.62097
6/3/1998,1.10539,#N/A,#N/A,138.285,136.414,131.1,0.6118,0.61287,0.61705
6/4/1998,1.11051,#N/A,#N/A,138.235,136.4175,131.052,0.614,0.61495,0.6186
6/5/1998,1.10476,#N/A,#N/A,139.56,137.725,132.315,0.6008,0.60117,0.60335
