date,libeur3m,libeur1y,libusd3m,libusd1y,libjpy3m,libjpy1y,libgbp3m,libgbp12m
1/1/1998,NA,NA,5.8125,5.96875,0.77344,0.73438,7.6875,7.6875
1/2/1998,NA,NA,5.80859,5.9375,0.78125,0.73438,7.67188,7.6875
1/5/1998,NA,NA,5.78125,5.875,0.77344,0.74219,7.64453,7.67188
1/6/1998,NA,NA,5.71875,5.8125,0.79297,0.74609,7.62109,7.625
1/7/1998,NA,NA,5.69141,5.75391,0.82422,0.75781,7.56641,7.5625
1/8/1998,NA,NA,5.6875,5.75,0.76563,0.73828,7.5625,7.58203
1/9/1998,NA,NA,5.65625,5.6875,0.74219,0.71484,7.55859,7.5625
1/12/1998,NA,NA,5.57813,5.59375,0.73438,0.69531,7.49609,7.47656
1/13/1998,NA,NA,5.59375,5.625,0.71875,0.67969,7.49219,7.48047
1/14/1998,NA,NA,5.625,5.67188,0.72656,0.68359,7.55469,7.55469
1/15/1998,NA,NA,5.59766,5.625,0.72656,0.67969,7.60156,7.61328
1/16/1998,NA,NA,5.625,5.65625,0.72266,0.67969,7.60938,7.625
1/19/1998,NA,NA,5.625,5.6875,0.71875,0.67188,7.625,7.6875
1/20/1998,NA,NA,5.625,5.66797,0.71875,0.67969,7.61328,7.69141
1/21/1998,NA,NA,5.625,5.65625,0.73047,0.69141,7.60156,7.625
1/22/1998,NA,NA,5.62109,5.65625,0.73438,0.69922,7.59766,7.625
1/23/1998,NA,NA,5.625,5.65625,0.73438,0.71094,7.5625,7.57422
1/26/1998,NA,NA,5.625,5.6875,0.74219,0.73438,7.5625,7.5625
1/27/1998,NA,NA,5.625,5.6875,0.76172,0.73047,7.5625,7.5625
1/28/1998,NA,NA,5.62891,5.71875,0.76953,0.73438,7.5625,7.5
1/29/1998,NA,NA,5.65234,5.71875,0.77344,0.74609,7.5625,7.50391
1/30/1998,NA,NA,5.625,5.65625,0.78906,0.75391,7.5625,7.46094
2/2/1998,NA,NA,5.625,5.65625,0.80859,0.78516,7.5625,7.48438
2/3/1998,NA,NA,5.625,5.65625,0.82813,0.80469,7.5625,7.48438
2/4/1998,NA,NA,5.625,5.65625,0.83594,0.80469,7.5625,7.48828
2/5/1998,NA,NA,5.625,5.65625,0.84766,0.8125,7.5625,7.49609
2/6/1998,NA,NA,5.625,5.65625,0.84375,0.82813,7.5625,7.48828
2/9/1998,NA,NA,5.625,5.67969,0.83984,0.82031,7.52734,7.45703
2/10/1998,NA,NA,5.62891,5.69922,0.83594,0.82031,7.5,7.4375
2/11/1998,NA,NA,5.625,5.6875,0.83594,0.81641,7.5,7.4375
2/12/1998,NA,NA,5.625,5.6875,0.83984,0.82031,7.50391,7.44922
2/13/1998,NA,NA,5.625,5.6875,0.83984,0.82422,7.51172,7.44922
2/16/1998,NA,NA,5.625,5.65625,0.83984,0.82031,7.51172,7.45313
2/17/1998,NA,NA,5.625,5.65625,0.84766,0.82422,7.51172,7.46484
2/18/1998,NA,NA,5.625,5.65625,0.85938,0.82031,7.5625,7.52344
2/19/1998,NA,NA,5.625,5.65625,0.85938,0.81641,7.5625,7.55469
2/20/1998,NA,NA,5.625,5.66797,0.86328,0.80859,7.5625,7.52734
2/23/1998,NA,NA,5.625,5.65625,0.85938,0.80859,7.5625,7.51563
2/24/1998,NA,NA,5.64063,5.70313,0.86328,0.80078,7.5625,7.52344
2/25/1998,NA,NA,5.67188,5.79688,0.83984,0.78125,7.5625,7.54297
2/26/1998,NA,NA,5.67578,5.78125,0.83984,0.78125,7.5625,7.54297
2/27/1998,NA,NA,5.67969,5.79297,0.8125,0.73047,7.5625,7.5625
3/2/1998,NA,NA,5.67578,5.78125,0.78906,0.73828,7.5625,7.56641
3/3/1998,NA,NA,5.6875,5.78516,0.78125,0.73438,7.5625,7.56641
3/4/1998,NA,NA,5.6875,5.82031,0.75391,0.71875,7.58984,7.59766
3/5/1998,NA,NA,5.6875,5.78516,0.74609,0.70703,7.57813,7.59766
